GENOME,PROFIT,NUMERO DI TRADE,WIN RATIO
001101000111-001111000010-010000011110-010001111001-010011110101-011100011011-100111100111-101110000101-110000100101-111000111110-10011110,19.96,8,62.5
001000000011-001011101000-001110000011-001111000110-100000110111-100100111101-101001010111-110110001101-111001010011-111001010110-11010011,2.22,8,62.5
001010111010-001011111100-010110101001-011010101000-100000101111-100010111111-100111011111-110011100011-110101110010-111111110110-11010100,9.52,16,56.25
010010001110-010011000101-010111101001-011000110100-011001000100-011100000100-011101001100-011101010110-110111010011-111011010100-11000101,0.0,0,0.0
000101100010-010000011110-010010011110-010011101001-011010101100-011011011000-011011101101-100001011011-100110010010-101111100101-10110010,0.59,20,60.0
000010010010-000100000011-100111111011-101010111110-110110110100-111000000000-111001101001-111010101110-111100101100-111111111011-01110000,3.45,25,52.0
000010110100-000101100001-010011110101-011010000110-011101101110-100100001100-100100111001-100111001000-101111000001-111011000111-00111100,9.88,16,37.5
000110111010-001011011000-010010101111-010101100011-011111101010-101110110001-110100010111-111100101111-111101111110-111111011111-01001101,1.79,14,50.0
010000000000-010000110010-010100110101-011001011001-100111001101-101010011110-110010111110-110110110111-111000100101-111001010010-00001010,-3.71,15,33.33
000011101000-001101111000-011100101110-011101010011-011111010100-100001010100-100001110110-101011001010-101101110110-110001011000-01010100,-22.13,57,29.82
000111100110-001000100001-010101011010-011101111001-011111001110-100111000010-101110100100-110000001100-110111011111-111001011010-01101100,12.82,14,64.29
000111110011-001011111100-001110110010-010101101001-100010001111-101010111010-101101011001-110101001001-110101101001-110111000010-10010100,15.93,18,55.56
000100101000-000101011011-000101101101-000110100100-001111011011-011100101110-011110100001-101000000000-101100111001-101101001111-01000110,-20.88,83,54.22
000100001010-000110111111-001001111101-001110000101-011000000001-011001101110-100101010001-101100111000-101110111011-110010001010-00110101,16.4,22,40.91
000011110110-001001011111-010010000100-010010100011-011100110101-011110110101-100111111000-101001000000-101100100101-110011100111-11010000,-23.9,8,25.0
001101010011-010001100001-010010000111-010100001100-010100110111-100100001001-100101101110-100111011110-110011010101-110101010010-10001011,-6.33,27,51.85
010100110010-011110101111-100010111110-110010100110-110100000111-111000001100-111000010100-111010001010-111100100011-111110011011-10001101,7.19,10,60.0
100011100001-100111011100-101000011001-101010011010-101100001101-101101100010-110111000000-111010101100-111100100011-111111010101-10110101,-24.42,30,43.33
000000011001-000101010000-001100110001-001111110010-010000011010-010000110110-100100001011-110000001111-110011010111-111011000101-00010010,11.14,41,34.15
000110101010-001100100101-010100010100-100001011110-101000101101-101010000111-101101001101-111000100100-111010010000-111111010110-11011011,-3.71,11,45.45
000100110010-000101011100-001011101011-001110011100-010010111111-011000000011-101010111001-110000001010-110110100010-111101110100-00010001,-11.48,22,31.82
001000110010-001100110010-001101110011-001111111111-011111000101-100001000110-101101111010-101111101011-111000000001-111001101011-01011010,2.43,10,50.0
010010010011-011101001011-100001010101-100100010101-100101001000-110001010000-110101100110-111011111011-111101001000-111110110110-10101010,3.08,12,66.67
000111100101-001001111110-001010111001-001100111110-001101011111-010100000001-100010011110-110100100011-110101111101-111011001010-10111000,11.52,6,66.67
000010010101-001101011110-010110000011-011010111010-011110110001-100111110101-101001000011-111010111101-111100000000-111110111000-01000100,6.68,8,75.0
001000010011-001111001111-010001010110-011010110100-011100101110-100111010001-110001010010-110110011111-111011101100-111110101101-11011110,1.43,3,66.67
000100001011-001110100101-010110110001-011000111110-011101100111-100101010100-101000101011-110011010011-110100111101-111100100011-01010100,-11.29,8,12.5
000000101001-000101101110-001010010011-010000111111-010001011001-100110010011-101001000101-101001001111-111111011011-111111011111-10010011,-28.76,34,41.18
000011000110-010101001100-010110110100-011001111101-011010000011-011100111111-100000111101-100110010110-101000000111-110110110000-01101101,1.42,6,50.0
000010010111-000101010010-000111010000-001001110001-010111001010-011011111010-011100111001-101010011101-110010010010-111100110011-01100101,-0.89,13,69.23
000101000110-000110001001-000111100101-010001011111-010110010001-100001001110-100010100111-100100110111-110001100111-110111011011-00001110,6.35,44,29.55
001010011010-001010111101-001110110011-010101100100-010101110110-011110001001-100011110110-100110100100-101010000000-111001100101-10000111,-35.01,39,53.85
000011001011-000111011101-001000100001-010001000101-100011111011-101101011000-101110001110-110010011010-111000001100-111000110011-11000100,-2.77,18,66.67
000001011000-000100110110-001011010011-001011100101-010000101010-010010110000-011111111111-101001011000-101110110100-111011011001-10000011,-36.14,69,73.91
001101101011-100000111110-101010101010-101101010100-101101110110-110000111001-110011000010-111001111011-111100010110-111110010110-11000110,-0.89,4,50.0
000100010100-001011001000-001100000001-010001000000-011001011011-011010101000-011011011000-011101001101-100011001111-101000111101-11110010,3.51,14,64.29
000001100011-001111100010-011001110110-011010011110-011101110011-100001101110-100111010000-100111111100-110001011111-111100101010-11010100,-2.67,5,40.0
