GENOME,PROFIT,NUMERO DI TRADE,WIN RATIO
001000001011-001111110001-010111111010-011001011110-011100100000-100011000001-100100101111-101011011000-110100010101-111000011010-01110001,-11.39,13,23.08
000000001010-000011100100-001011100000-001011101000-001110101001-011001110011-011011011100-110011111110-110111101111-111001010000-10101010,16.14,12,75.0
000101101111-000110010111-001000000111-010101110000-011001111010-101010000000-101011000111-101111011100-110001000010-111001011110-00101011,26.78,37,43.24
000001100010-001000110011-001100110110-010000010101-011110010100-100010111011-101100000001-111011000011-111100011110-111100111010-10010100,5.11,28,53.57
001010000110-010001111000-010111000111-100000001011-100001101001-100101110001-101100000011-101111001111-101111101011-110011101011-01011011,-18.27,26,34.62
000011000010-011101111010-011111101110-011111110111-100011000100-101001010110-101010100100-110001110000-111110110000-111111010100-00111011,0.25,25,36.0
000011010011-000101011110-001101010111-011010010110-011111100010-101001100010-110001101010-110101011111-110111101101-111010000101-00000000,-0.94,3,33.33
000010011001-000010110001-000011011010-010010101011-010011001101-011000010011-101110100110-110100111010-110101110001-111011011001-00000100,3.34,33,30.3
010001110110-010110100111-011000000001-011110000100-100001000110-100101000111-100111001100-101100110100-110000110110-111110101100-10010101,13.9,10,50.0
000101000101-010110010000-011000011001-011110010110-101101100100-110011001111-111000101100-111010100001-111100101010-111111110010-11101011,5.56,6,83.33
001011000001-010111100100-011010001001-011010100101-110100000110-110110111010-111000001010-111001000010-111001010011-111100101011-00010101,-8.42,20,15.0
000010011011-000011101010-000111101000-001001111011-001010011100-011010001111-100111000011-101010001111-110001101010-111101000010-11000101,-1.38,9,77.78
000101011000-010010011011-010101011100-011010010100-011110110001-100000110100-101000101000-101110101110-110100111101-111011111101-01100101,-26.32,68,54.41
000000011101-000011100110-000100010010-001010101000-011000001010-100100100001-101100110100-101111111001-110100011110-111010111000-10100111,5.86,27,70.37
000010110111-001011101111-010110001100-011001101011-011110000110-100111101001-101000000010-101010110010-110011111101-111100101001-11001101,27.41,18,72.22
000011011110-000110011010-000110011110-010001001100-011101000001-100111011100-101000010100-101100111000-110000010101-110100010010-00100110,-4.33,11,36.36
011011100011-100110101110-100110111001-100111011001-100111110111-101001001011-101011101011-101100100000-101100100111-111010010110-01111111,-22.19,11,9.09
000000001100-010001100001-010101000010-011100011100-011110000011-100001100100-101101101100-110100101000-111001110101-111100101010-11101011,7.8,4,100.0
000000101010-000001110111-001011111010-010011000010-010011111111-010110001011-100111110111-110011111110-110101110000-110101110011-00111111,-15.19,12,16.67
001100011110-010000101101-010010101001-010011101010-011110100011-101100001110-110000111000-110001010011-110001101011-111111001111-10111011,2.51,8,50.0
000100000111-000101111111-001010100001-010001110111-010100110101-010111000011-101110100011-110010010001-111000001100-111000111111-11011000,35.05,15,73.33
000101100011-001011101000-001011101110-011000111011-100011011110-100111000000-101100110101-111010001010-111010110101-111111010111-11001110,26.03,13,76.92
000100010010-001011110000-001100100100-001111010011-010001110010-011000100110-100111001110-101010011001-110000001111-110101101011-10001111,-8.95,22,54.55
000100101000-011001011100-100001000011-100101011011-100110111111-101001111011-101111011101-111011011011-111101101111-111110001100-10101000,16.36,53,69.81
001001000100-010100000100-011010101000-011011001000-100000011111-100001010100-100010111110-101011001000-101101010000-110101100000-11100101,4.36,16,81.25
001001101100-001010101110-011011010110-011011100001-101000001000-101001110010-101011011010-101100010000-101111010100-110011011100-00110000,-8.72,35,28.57
001000100110-011100010010-011101011100-100000001000-100011010110-100011110001-100100000001-101111011000-101111111111-111010011010-11011111,21.92,76,52.63
001100111001-001101101011-010101110001-011101110000-100000100000-100011010011-101001000000-101111111000-110110101110-111011011111-00011010,-2.51,36,19.44
001100011101-001101110111-010000111111-010001111100-010110000110-011001110100-011110111110-100011111000-100110100101-111001111010-01011100,-10.1,8,12.5
000101000011-011010111100-011111111110-100010010110-100101111001-101010000000-101101100011-110010111101-111000000000-111110101011-11100010,2.81,35,82.86
000110101110-001001110111-001101111101-011010101110-011100001100-100001100111-100100111101-101001100101-111100001110-111100100000-00000110,4.25,6,66.67
000001111010-000111010110-001000011000-001101110101-010100010011-100010101000-100101011110-101011000000-101101000011-111001010100-01011011,14.37,42,38.1
000000000001-001010010110-001010010111-001110100000-001111011110-100000001100-100101000000-100101011010-110101101000-110101101101-11100101,-43.32,44,68.18
000101001001-001000010111-011011001010-011100000001-011101010101-100101011110-100101111101-110101001110-111010000100-111100001011-10000100,-23.65,37,54.05
010100011001-010110011000-011100010101-100000000000-100001111000-100011101100-101100101011-110000101101-110001100010-110111001000-11110110,-17.42,57,49.12
000101110101-001010011001-010000001110-010000110010-010100000011-011110111001-101101010111-110111101000-111101011010-111101111100-10111011,-1.76,22,40.91
001100100000-001110110000-010100011100-100000111010-101010101111-110110100000-111000101100-111001000000-111001100100-111010111010-01101000,-1.14,24,58.33
000101010010-010101000101-010110110110-100101111011-100111001000-101011100100-101100011101-110011011001-110011101100-111000010111-01001010,1.81,11,45.45
000110000110-000110010110-001011100000-001100111000-010001110011-100100000000-100101010101-110010101110-110101010000-111011000101-10111010,11.83,34,50.0
001100111100-001111101001-010000001110-010111001000-011011010100-100001000100-100110101001-101111111011-110000101000-111010001000-00101100,-2.88,18,33.33
000001101000-000010010111-000111110011-001101011011-010010011000-010101001110-011010011001-011010011011-011100000011-100000011010-00000000,-11.26,94,48.94
001011110000-001100010000-001100111100-011101010101-100100100101-100110000001-101000000101-101011010100-101100110100-110111110001-11111100,7.91,55,52.73
011000110100-011010101011-011011100111-011101101010-100011111001-100100111011-101001010001-101001101001-101100010011-110011011010-11001001,8.05,14,78.57
000000011011-000001110011-001010000011-001100100011-010100010001-010101011000-010110011100-011001000101-011111100001-101000011011-10001110,16.24,15,66.67
000000010001-010010000111-010010110010-011111110101-100001000011-101011110101-101100000110-110011000011-110110011111-111100010011-01111010,-14.11,26,34.62
000110011111-000111101101-001110111011-001111100110-010010100011-010010100100-011001000101-011110100101-100110101000-101000000001-01001111,-15.53,31,35.48
001011100110-010111110111-011100000011-011101000000-100010111110-101000001011-101001110100-101100100100-110010010010-111100100010-01010010,8.3,17,52.94
000011100001-010110111100-011011001101-110100011011-110100100010-110110011000-111000001001-111001100011-111100111010-111111010010-10000101,8.93,28,64.29
001011001101-001110110001-011000100000-100000101001-100010101010-100010101100-100111110101-101110101101-110110101011-111110011110-01001010,8.19,39,53.85
000101110000-001111000011-010000001010-010011010010-010101001110-011110000011-100100010101-101000100111-110010110001-110100000111-01110111,4.43,57,47.37
000010101100-010000110010-010111101111-100111000000-101110010001-110000001101-110010001011-110011011000-110111011100-111001001101-00011010,9.31,12,25.0
000110101101-001100011101-011001010101-101000101110-101110101110-110011101101-110111100110-111101110101-111110000110-111110011101-10111111,-15.26,6,16.67
000001111101-000110010110-001011110000-001100010110-010110011001-011010110110-011011000111-100110010000-101111001110-111011110110-11010101,-8.4,35,51.43
000011100100-010001000100-010101101100-011000110000-100101000110-101000101101-110100001110-111001011100-111101111001-111110100100-01111011,11.72,4,75.0
001101111010-010000101000-010110010010-011010110010-011111010101-100010001100-100011011000-101001000010-110000111111-111001000100-00000100,-6.3,23,39.13
000001000111-000001001000-000011110111-001000110111-001100010011-001110111101-010110100010-011101011100-100001000100-101111101000-00011011,5.7,11,36.36
001101000001-001110011100-010000101100-010000110011-010101010001-100000011110-101011101101-101100001011-101100101101-101111110000-01001100,10.48,11,54.55
000001111100-000100100100-001000100001-001111101110-010110101001-010110111110-011011001000-011111000001-101001011000-101001101000-00111100,8.37,16,40.0
000011000010-001000101111-010011101101-011100101100-100100100101-100110001101-101010101001-101101010010-110001110011-111110101100-11010110,5.31,26,53.85
010101000110-010101100111-011011111110-100100010110-110001010111-110001011101-110011110101-110100000011-110100111000-111100011100-00100101,5.0,11,72.73
011011010000-100000001100-100001101110-100001111010-101110000010-110101001100-111000101000-111000110111-111011110010-111101000000-11010101,-0.96,17,52.94
001100010001-010000000111-010011100111-011000010110-011100111110-100110111010-101000010101-101001100111-110000000111-110010101101-01001101,17.52,14,71.43
001011111000-001101001011-010010001011-011001011110-011011100001-011101111000-101010110011-101100100001-111000010011-111101011110-11000011,6.62,29,82.76
001101000011-100011000101-100111001101-101100100000-110101100100-110111100111-111000111011-111001001000-111010010011-111011010101-00101111,-2.39,6,33.33
010001000111-010011101010-010011101101-011010000110-011011001011-011101011000-100011000001-100111000011-101010011110-111101001010-10010111,19.59,8,75.0
000010100101-001111011100-010100000100-011110001010-100001111110-100010000011-101110111000-110001101000-110100110101-111110000101-11001110,2.78,10,70.0
000110001110-010110001101-011000011110-011010110010-011111001100-100010011110-100011001010-101111000101-110100011101-111101100011-01100011,-4.22,10,60.0
000100011000-010011010011-011000000000-011001111110-011011011111-011100010000-100011100001-100011101011-101110100011-111001100010-00010110,-12.4,58,20.69
000100001101-001100110010-011001110001-011010000101-011011110011-100111101010-110010010100-110100011001-111101001010-111110100101-01101101,2.29,6,66.67
001111110001-010001000101-010100111001-011000110111-011010101101-011011010110-011110001000-100101100100-100110100101-110000011101-10010000,2.1,11,45.45
001111010101-010010010011-010010101011-010111100111-101100100111-101111010110-110000001000-110011110001-111100011111-111110111000-00000011,-3.74,10,50.0
000110110111-000111001011-001000000101-001011000000-001111000011-010000101000-010000110010-011001110110-101110100000-110000000110-10101101,7.49,19,63.16
001001110110-011000110100-011100110110-011101100101-101001101010-101111011110-110001000001-110100000100-111011110010-111110111010-00101100,-0.16,3,33.33
000010011001-001010100110-001011111111-010100110110-010101011110-011011101000-101001101100-101111111100-111010000001-111010001011-10111100,-6.58,31,36.67
000110001010-001001011011-010101110111-010110011100-011011001011-100010010101-101000001010-101111000101-110111011001-111101000111-01111010,14.19,29,44.83
000100111111-001000101010-001010111111-001110110101-010010111010-010011001001-011010011011-100010011000-110111001101-111101001011-11000010,-17.89,50,80.0
001101000100-011101001110-011111000010-100101111101-101000010011-101011001010-101110110100-110011110010-110110011001-111000101101-11101010,12.27,12,75.0
000101110001-001001001011-001010100010-001111000010-010001000100-010010010101-101110001011-110010011100-111101100111-111110011000-10011001,16.02,25,52.0
000000001001-010010101110-011001001011-100010010110-100111000101-101100000011-101111011010-110011010111-110100011000-110110100011-11111111,9.82,36,52.78
001101101010-001110010010-010000100110-010101101011-010110010110-010110111000-011100001010-011110110101-101010001110-110010101011-10010100,-13.84,7,28.57
000101101011-010000110101-010000111110-011101111111-100010110110-101110001100-101110011011-110001101001-111000001000-111111101100-01100011,-3.43,10,80.0
000000000001-000101110011-000110110000-011000101011-011001110111-011100101000-101001001001-111001011000-111100100010-111111110101-00101001,-40.62,37,21.62
000001111110-000100100000-000101010000-100011011010-101100000111-101101011011-110011000001-111010001100-111110000011-111111110111-10110001,-32.45,23,26.09
001010011010-001010110111-010010010101-010100000111-010101100110-011110011010-101111111111-110001001001-110101101101-111011110110-00111000,5.89,13,30.77
001010100010-010000110101-010101110010-011010011101-011110110110-011111010111-101111001101-110011011101-111111101001-111111101101-01111110,-6.02,7,28.57
000001111101-000110001001-000110001010-001101010101-010111000000-100010001010-110000011011-110100101100-111000001010-111110101100-11100001,-19.87,69,81.16
000011110010-001010011110-001110011001-010111011011-011000000010-011100010110-101001100111-110010011101-110100110010-111101110101-01000010,-5.14,22,54.55
000011011010-000101000010-001001100000-001100111100-010000111000-010101010010-011011101110-100001010001-100001011100-111011100100-01011010,-8.18,16,31.25
000101011010-000110010111-001000000011-001011111100-001101001100-001111010010-010011111100-101001000010-110011001110-111111000001-01001110,2.33,20,55.0
011010000110-100100111100-100111100001-101000100100-101001000000-101100000001-110001101011-110001101110-110001111100-111001000111-01010001,10.2,13,46.15
000110001010-000110011110-010000100111-010101001010-010110000101-011010010101-101000010100-101100000000-110100111011-111111000010-00000101,0.4,24,37.5
000100100001-001000101111-001101101001-010101100010-011110010010-011111011111-100010111110-101000001001-101100011110-111111100000-11011100,-25.97,32,34.38
000011101001-001010110110-001011110000-010000001000-011011000001-100000111010-100011101000-101001010001-110101000101-111101100001-11101000,-13.74,46,60.87
001100011100-011100010000-011111011000-100011110011-101100001010-101110000100-110001001010-110110111111-111000010101-111010011101-01101011,9.25,14,78.57
001000101011-001100110101-001111110011-010011001011-011000110101-100001011000-100110101000-101011110000-101101011011-111000001101-11100111,-18.7,25,64.0
000001110101-001010000110-001100101000-010010000100-010101000001-010101000011-010101001001-100100011001-101010011001-111111000101-11001010,34.29,49,75.51
010000010111-010000111000-010001110001-010100010111-010100111010-010110110101-100010111101-110100111010-110101100011-111011101011-11100010,3.03,5,100.0
000111100111-001000001111-010110110001-011011010001-011100001010-100000000011-100111110010-101101101101-111100011001-111111110110-00111001,-2.62,18,27.78
000010100011-000100101111-001011101101-010000101111-010010110100-010011101001-010011111010-011000011110-011011001110-110001111000-10010011,7.16,2,100.0
000100000000-010010010000-010100001010-010100001100-010100101010-100000001101-101110000001-110000011011-111011101011-111110000111-11111000,53.94,55,67.27
000010001110-000100100010-001010101101-011011010100-011110011001-011111100100-100011000000-101000000011-101100010111-110001000100-11011111,-16.96,13,30.77
000011001000-000011010011-010101000100-010111001111-100110000101-110000110011-110011100011-111000100110-111001010001-111100101111-01010110,36.15,57,42.11
000011011010-000011011010-001011101001-010001000100-010001101001-010110101101-011001011100-100101010111-101001001111-111011001011-10101101,8.3,10,70.0
000011001111-001110110000-010110100011-011110010011-100000100110-110010000110-110101011110-111011001010-111100110000-111111000100-01011101,6.21,7,28.57
000011100011-000111111111-001011000111-010000010101-011011010010-101011010011-110111011111-111000110101-111001111110-111101010101-10011110,5.03,5,40.0
000000100101-000011101011-001010111111-100110001001-100111010001-110010000111-110010101001-110110101001-111000101000-111011110000-11010001,4.74,29,58.62
000000110101-000111001111-001110010100-010000110100-011011100000-011011100110-100111001010-111011000111-111101110010-111111110110-00010101,-0.9,1,0.0
000111011110-001011100101-010010010000-011010110111-100011111010-101000001011-101010110110-101100101110-110100011111-110100101100-10110100,-16.49,17,35.29
000010001001-001111010000-010110110111-100000011100-100011111100-100111000000-100111000011-101110001101-110100011110-111111010011-10001101,15.07,32,53.12
000110101111-001001111101-010100110011-011011110000-100100010010-100111100001-101000110011-101011111000-110011100110-110111001010-10011100,-19.35,18,27.78
000010010000-001000111101-011101010101-011110110101-100001100110-100001111010-100010001000-100110011110-101101010000-111111011011-10111011,-21.09,48,47.92
000001011001-000011110110-000100110111-001010000101-011100011110-100010011000-100010110111-100111000110-101000101101-111100100101-11000110,-10.89,65,70.77
000011000100-000110001011-010101010000-010111001011-011111111101-100010101111-101110011001-110000001011-111001101100-111100010011-11110010,-14.84,21,52.38
000001110001-000010101111-000100101110-001101100100-011001010100-100111110101-101001110010-110011001110-111100101110-111110100100-00001011,7.18,26,38.46
011001011000-011001011000-100011001010-100011010111-100011111100-100110000001-101011010110-101110000001-110010010100-111001011010-10110011,-2.11,46,50.0
000010011111-001111011001-011001101101-011100000110-100000000110-100010101111-101001100000-101010100100-111001000011-111110111010-10101101,-4.83,13,50.0
000101010101-001011001111-010111001101-011011001110-011110000100-100100110101-100101011001-101010101010-101111110000-110101110110-11110011,7.22,9,66.67
000010110011-001111110100-010010110110-011000011110-011010110111-100011000001-100111011000-101101111100-110001001110-110111010011-01111110,9.71,7,42.86
000011111100-001010010001-001011001011-001011101010-001111101110-011011111000-100000101011-100111011110-111100001011-111110001011-00100110,-3.8,14,28.57
000100010000-000110001110-001010101010-001110001010-011011101101-011100001001-101101110101-110101111011-110110010000-111011001101-00101010,-9.85,75,42.67
000000010010-000011001100-001000111111-001100111100-100011011100-101000100000-101010100111-101100010011-110110011011-110111111111-10000011,1.01,29,75.86
000000110101-000000111011-000011110100-000100111110-000111100000-001001000000-001100010011-010100110110-100110000111-101011010011-10110101,-13.31,14,35.71
000000000111-001011111110-010111001100-100000111101-110001111100-110010101011-110011101001-110100000100-111110001101-111110111001-01011001,4.25,4,50.0
000101000011-000111011000-001111101000-011101000000-011111011001-100000001011-101100011111-110100100100-110111010100-111100001001-01110101,16.8,28,50.0
000000010011-000010000100-000010000110-000111000110-001001001001-010110111100-100001101110-110000101110-110100100001-111010101101-10000101,-16.92,11,45.45
010001100000-010010000111-011100111110-100110100101-100111100010-101100011010-101111001101-110001011110-110010001110-111100111010-01000101,14.41,26,61.54
001011100101-010110000100-011011000101-011101110100-100011001110-100011111001-101011101010-101100100010-101100100100-111000100011-01000100,-7.66,14,35.71
001111001111-010000111111-010100110001-011011111110-011111011110-100100000100-101101010101-101101101101-110011101000-110011110111-00110001,5.86,7,42.86
000010100010-010000100110-010011111010-011000001011-011000111001-011101001000-100011110100-101001010000-101111101011-110101101111-10011000,4.69,16,50.0
010001011100-010110010100-010110101110-101101000000-101110111011-111000100101-111010000100-111110010000-111111100101-111111110011-10000110,1.46,15,60.0
001101000011-001101100011-010001110100-010111011000-011010100011-011110010010-100110000000-101011101110-111001000100-111101000101-01000100,-7.49,41,53.66
000000000110-001011011000-010010001001-010101101100-100000100000-100110001000-101100110000-101101010100-111000111111-111100111101-00100101,2.46,68,47.06
000101001101-001110010100-011000000111-011100011011-011111000101-100000111100-100111101000-110000101000-111001111110-111011011010-00100000,-7.61,7,28.57
000010101110-000101010111-010001000010-011010110010-100001111100-100110110100-101111111111-110111011100-111010010011-111101010000-11100001,-0.69,10,80.0
000001010110-001000001110-010010110110-010100001111-010100011000-011000011111-011010100101-011111101101-110101100100-111100110111-10000111,-0.41,4,75.0
001101011111-001110010000-010011011100-011110101100-100000001000-100100001111-101101001100-110010111100-110110011001-111000101010-00111110,26.17,62,29.03
000110011111-001011011010-011010010110-100110010100-101000110111-101101001101-111001010110-111101010001-111110000010-111111001010-01011110,-2.19,12,25.0
000110001100-000111011111-001011010000-010000100111-010010100001-010110100010-011011101010-011101001110-011110111111-100011010001-00110101,17.4,12,41.67
000001101000-000101000101-010101100000-100001111101-101111100101-110000000001-110100101010-110110000001-110111110001-111101011011-11111000,24.45,54,59.26
000000010010-000011101100-000111011101-010011010110-010011101101-011100011100-101101101110-101111111101-110011111100-110100011101-00110000,1.54,14,35.71
000000000011-000001100110-000011110011-000110110001-001100011011-001110111000-010101111000-011010111111-100011000111-111110101100-01000110,15.16,23,60.87
100010000000-100101001011-101000011001-101101001000-101111100011-110001000101-111001010001-111011111001-111101100001-111111111011-11101110,-22.13,63,60.32
000000111111-000011010110-000110011000-001011100101-001100010110-010001111001-010010001101-010011010110-101001011000-111011100110-10010101,6.69,32,46.88
000111000010-001101100000-001111101000-101101000011-101111011100-110110111111-110111110101-111001001110-111100000110-111101111111-00010001,-23.34,16,31.25
000011000101-000011100110-001111110110-010011010100-010101100110-111001101011-111010111010-111011111001-111101010101-111111101111-01010010,-6.32,2,50.0
000000110001-000111010111-001000010000-001100111100-010011111101-011010101011-011100000000-100000111110-100110101100-101000110100-01100111,26.6,42,71.43
000010111110-000101001110-001010010110-001100100011-010110101110-100011101100-100101010011-101000010100-101011001101-110100001110-00100001,-3.03,6,50.0
000111111100-001111001001-010101110001-011101011100-100011100100-101001110011-101100010000-101101001111-110010000101-110011110111-00001001,-0.96,14,21.43
000000010000-001011101110-010110010100-100001001111-101001010111-101010101010-101011011000-110101100100-110110110110-111010001111-01010100,-27.04,64,29.69
000010101001-001010111100-010101001000-010110011100-011001110001-011001111101-101100110000-101111101010-110100011000-111111001111-11010010,13.07,28,60.71
000111110001-001011100111-001100001111-001110110101-010001100001-010101110100-011110010110-100011100100-101011110010-110000111101-01111001,11.66,13,53.85
000011100101-000100001101-000111010011-010001100101-010001101010-011110010101-100111000001-110011111111-110111111010-111011111110-11111000,5.55,8,62.5
000110001101-001101110100-010011011111-011011000000-101010010011-110001101111-110010110000-110100111011-110111111000-111011100111-00111111,-2.46,12,25.0
000011111111-000110010110-001110010010-010010000101-010110101111-011110001010-101000101001-101110011100-110000110000-110010111010-10010110,-9.8,19,36.84
000000111101-000001100001-000010101110-001100101111-001101010010-010011000001-010110101101-101111100001-110000111101-111101011011-01011000,2.06,9,33.33
000000010000-000010100110-001010100010-001101100001-001111111101-100111011010-110010110001-110110110000-111001010110-111100110111-01100110,39.51,69,72.46
000101001101-000110101001-010110111001-010111001010-011101001110-100010101101-100110100110-111001010100-111011010011-111101001111-11111001,25.69,12,58.33
000101000100-001110001101-010000000111-010001101111-010010110101-010111000010-011100010010-011101011100-100111000000-110101101101-10110101,15.15,12,66.67
001011000110-011101100011-011101101101-011110010111-101100101001-101111100101-110000011110-110000110000-111101001000-111101001001-00001001,-4.78,5,20.0
000100000110-000101110101-010000000111-010100100010-010101101100-011010110000-101000101010-110010100101-110011101100-110111011110-11110000,-25.75,13,30.77
010011100000-011010011000-011110011000-100001111010-100111011011-100111101001-101010010010-101010010111-110101000111-110111101100-10010001,32.78,25,64.0
000010100111-000011101010-000111100001-010111000000-100000001000-100010010101-100011100110-101000001101-110001100000-110111010111-01000011,-38.19,73,65.75
000100000001-001100100111-001100110101-010110100010-100001011011-100010011110-110001011001-110010101011-111011000111-111111100001-11100011,-0.83,13,76.92
000011001111-000011100111-000100001110-001111001011-010100001000-100000100010-100110101101-110000001100-110111110110-111110011011-00001010,8.27,28,35.71
000000111111-000101001101-001110100110-010101101011-010110101101-011000000110-100101101110-101101011100-110000110100-111111011011-00111101,-5.82,4,0.0
001000011010-011000010100-011100101100-011110000010-100101100111-101010000001-110010110011-110100111000-110100111000-111110011100-11100010,-12.62,25,68.0
001010111110-001111000011-010010000011-010010111010-100010010001-100101111010-101000101101-101100111000-110010011011-111100110010-01000100,-11.11,49,53.06
010110000000-011001111110-011100000001-011110110010-011111100010-100001101001-101100000010-110011101101-110101010101-111111001111-01111111,-14.14,14,28.57
000010111011-000100110011-000101000100-001110111110-010010001001-010110100000-010111101000-101010110001-111011011111-111100001011-10011010,28.91,15,66.67
000001001110-000010010001-000011101111-000100010111-001011110001-100010101100-100011110001-101000000001-101100011011-111011100100-00010100,-17.34,64,29.69
010010011011-011010101101-011011101010-100000101110-101110100100-110100101101-110111001101-111001101010-111100100100-111110100111-10001110,-3.69,6,50.0
010001011111-010011001101-011110110111-100010000111-100101110011-110111011011-111001111011-111011001010-111101001100-111111110001-00000011,-4.2,7,42.86
000010011101-001000000001-010000101110-011001000101-100100110001-100101010100-101011011000-101111011110-101111111010-111001001000-01011000,-7.32,28,32.14
000000000000-000010111101-000100110110-000101101111-010110001101-010111101110-011100011001-011101000011-100110110010-101010100100-11100110,-8.57,60,71.67
001011100110-010000111100-010110100011-011100100110-101100011001-101101111000-110000010100-110101110100-110110100100-111111111001-10001001,8.79,9,77.78
000001001010-001100010101-001101100100-010011001110-011000101001-011001011010-100011111100-100110100010-110011100100-110110110111-10011110,21.74,18,55.56
001000100010-010001000110-011000011110-011011100100-011100000110-100000111101-100011110100-110001000101-110111011001-111110100101-00111110,-5.86,7,14.29
000000010111-001000101101-010000010010-010100101010-010100110110-010111001110-011111010001-101110101001-101111000011-111001010000-10101101,19.82,15,66.67
000000100010-000010011111-000011101010-001100110011-001110111000-011000110000-100011010010-100111100111-101010110100-111001011010-10010110,7.09,27,44.44
001100001001-010000010001-011010001110-011110100100-100011011110-100110010011-101010110100-101011100101-101111001110-110111011101-00000111,1.33,13,46.15
000000111100-001000100110-001010111111-010001101000-011000111101-100100011111-100100110111-110000100000-111001001110-111100110111-01010110,12.64,9,55.56
001000000010-001000011101-001001011110-001100011110-001100101010-011000101001-100111011100-101101101100-110110110010-111101010110-11101101,9.15,12,75.0
000000100101-000011100100-000100011010-010000001000-100010110100-100011000110-101101110101-101110010101-101110101011-111100100111-00110100,3.67,23,43.48
001101000000-011000010000-011100000000-011101011110-101010101111-110010000001-110011000000-110100001011-110100010110-110100100010-00010111,3.81,25,20.0
000111100001-001001010010-001010110010-010000110000-011001010110-011111001001-100100111110-110110011101-111110010100-111111001110-01101011,14.14,16,56.25
001010000110-001010011100-010001010011-011110100101-011111100000-100001010010-100001010100-101000000010-110011001000-111111011011-10000111,-0.71,12,66.67
001000100101-001000101011-001110111101-010000100110-010011000001-011110000110-101000101111-101111001001-101111010010-110010010001-00100000,9.22,17,76.47
001101111100-010001110101-010101100111-011001100000-011110101001-100110011010-110011000000-111000000011-111010001101-111011000001-00110010,11.94,14,50.0
001011010101-001110000001-010101010100-011110110010-100001001011-100001110111-100100111010-100111010001-111010111001-111101100001-10010101,4.63,10,50.0
000011010011-001011000100-101011000111-101100000110-101110101110-101110110001-110001101001-110001111010-110011101101-110110101100-00100010,6.44,6,66.67
001111001101-011010001110-011100110011-100001111111-100100100001-100110000001-101010100001-101010111010-111000100111-111101011011-10101100,8.73,55,56.36
001000101001-010011111001-010100101011-010111000000-011110110111-100100011100-100101000001-100110100110-101010100100-110111000100-00010001,5.2,31,29.03
000001111000-000010111100-010000100010-010010101111-010011110001-010110011100-100010001011-100110011001-101101011110-110100110110-00001111,16.89,97,26.8
000000101111-001001100111-010001101000-010100001111-100110010111-100110111111-101010010101-110101101100-111011100010-111111000101-01011011,-14.64,8,12.5
000110100001-000111000000-001110001000-010010010001-011011100110-011011110000-101100010001-111100010000-111100111000-111100111101-11100101,0.85,40,77.5
000111101100-010110111000-011010011011-100011010000-101001011110-101011110100-101110000010-101111111010-110101111001-111101101110-10101111,-18.1,15,46.67
000101110010-000111011001-001001001001-001101000010-010011101110-011100001001-100101001010-101010010010-101100110001-110010000101-01001110,-2.03,24,50.0
000001111100-001010100101-010011000110-011100101111-011100101111-011101101111-011111011001-101100000111-111000101001-111011010101-00010011,6.96,7,14.29
000011110110-001100101111-001110000001-011000101101-011011110100-100111111101-101000111001-110001100011-110110000000-111000000001-11101111,-46.07,19,31.58
001010011100-010110101001-010110110001-011010100001-100011100000-100110100000-101010100110-110101001110-110101110001-110110000111-01111101,48.78,29,55.17
001010000110-010101111111-011101110101-100010010010-100011011000-100111001010-100111111001-110100100101-110100110010-111000001010-11101100,-35.19,34,50.0
000011101001-001100001101-010011001010-011110000000-100001100000-100011110111-100101111001-100110101101-110011011010-110011101110-11011000,21.78,35,54.29
000000111001-000101001111-000101101010-001010101110-100010001101-100110110000-101000001001-111001010110-111011100010-111011110010-10111000,-21.56,50,40.0
000000011111-000110111011-001010011011-001110100011-010010010000-011111100111-101010011001-110001111011-111011100110-111110110000-10000011,-17.24,31,70.97
000101110110-001001010111-010101001000-011000111011-011001110001-011011000001-100001111000-100110110000-110100110011-111111110010-00001100,11.96,15,53.33
001101011000-010000010001-010111101101-100000100001-100110100011-101010110010-101110100010-110000110010-110101101100-111101111100-10110111,-44.96,30,33.33
000010000111-001101001111-001101100001-010100101101-010101001010-100000110000-100101111111-110000100000-110011001011-111011111011-01000111,-6.09,14,35.71
000010111010-000011111110-000101010100-001110011111-010010111101-010110100101-101001101000-111101001111-111110001000-111110011010-10010111,-15.76,20,36.84
000010100101-000101100001-001100111000-001110001111-011000000111-101000110101-101100111110-101111010101-110111011111-111010101110-01101101,9.77,4,100.0
000011000100-000011011101-000101001000-001010110101-001011111001-001110100111-010011101100-011101100101-110110101101-111011111101-00010111,-1.98,5,20.0
000110000100-001001101101-001110111011-011001101110-011101001011-100011000000-100111010000-101100010101-111010011011-111111101111-01100010,5.18,9,88.89
000001111101-000010011111-000100000111-001010011011-010010011111-011000100010-100001101010-101010000001-111101001111-111110010111-00010011,-4.68,34,32.35
001000011111-001100010011-011100100001-011101001101-100101010100-101011001101-110010001101-110010010101-111000010000-111101010111-00000000,12.54,6,100.0
000100010000-000101011111-001010110001-010010000001-011000000111-011001010010-011101010110-101001101010-101011111011-111000110101-10010100,13.91,49,55.1
000000100111-000011100001-001110011110-001111011111-010010111111-011011100010-011100011001-011101001001-100010111010-100110101101-00001000,-1.63,8,50.0
001110110011-010001001110-011000100011-011010000011-100000100001-100001000011-100010001100-100101100111-100101110001-100111101101-00111101,2.58,22,27.27
